2300,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2313,2314,2315,2316,2317,2318,2319,2320,2321,2322,2323,2324,2325,2326,2327,2328,2329,2330,2331,2332,2333,2334,2335,2336,2337,2338,2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2349
11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,7,11,7,11,7,11,7,11,7,7,7,11,11,7,11,11,7
"{'en': 'Thai flag', 'ar': 'تونغ تاي', 'sq': 'Tong Thai'}","{'en': 'Grand Abshar Restaurant & Sweets.', 'ar': 'مطعم وحلويات آبشار الكبير.', 'sq': 'Restorant Grand Abshar & ëmbëlsira.'}","{'en': 'Pars Iranian Restaurant', 'ar': 'مطعم بارس الإيراني', 'sq': 'Restorant Pars Iranian'}","{'en': 'Al Damayati restaurant', 'ar': 'مطعم الدمياطي', 'sq': 'Restorant Al Damayati'}","{'en': ""L'Amo Bistro del Mare"", 'ar': 'لامو بيسترو ديل ماري', 'sq': ""L'Amo Bistro del Mare""}","{'en': 'DUOMO Dubai', 'ar': 'دومو دبي', 'sq': 'DUOMO Dubai'}","{'en': 'Mohalla Restaurant', 'ar': 'مطعم موهلا', 'sq': 'Restorant Mohalla'}","{'en': 'Catch22 Restaurant', 'ar': 'مطعم كاتش 22', 'sq': 'Restorant Catch22'}","{'en': 'Labash Restaurant', 'ar': 'مطعم لبش', 'sq': 'Restorant Labash'}","{'en': 'Five Saving', 'ar': 'خمسة توفير', 'sq': 'Pesë Kursime'}","{'en': 'Zal Market', 'ar': 'سوق الزل', 'sq': 'Suuku Al Zal'}","{'en': 'Al Garawi Galleria', 'ar': 'القرعاوي قاليريا', 'sq': 'Galeria Al Garavi'}","{'en': 'Al Faisaliah Mall', 'ar': 'الفيصلية مول', 'sq': 'Al Faisaliah Mall'}","{'en': 'Royal Mall', 'ar': 'رويال مول', 'sq': 'Royal Mall'}","{'en': 'Centria Mall', 'ar': 'سنتريا مول', 'sq': 'Qendra Tregtare Centria'}","{'en': 'Cenomi Al Hamra Mall', 'ar': 'سينومي الحمراء مول', 'sq': 'Qendra Tregtare Cenomi Al Hamra'}","{'en': 'Sahara Mall', 'ar': 'مول صحارى', 'sq': 'Qendra Tregtare Sahara'}","{'en': 'Al Qasr Mall', 'ar': 'القصـر مول', 'sq': 'Al Qasr Mall'}","{'en': 'Roshn Front - Shopping Area', 'ar': 'واجهة روشن - منطقة تسوق', 'sq': 'Roshn Front - Zona e Blerjeve'}","{'en': 'Hayat Mall', 'ar': 'حياة مول', 'sq': 'Hayat Mall'}","{'en': 'Cenomi Al Nakheel Mall', 'ar': 'سنومي النخيل مول', 'sq': 'Cenomi Al Nakheel Mall'}","{'en': 'Panorama Mall', 'ar': 'بانوراما مول', 'sq': 'Panorama Mall'}","{'en': 'Riyadh Park', 'ar': 'الرياض بارك', 'sq': 'Parku Riyadh'}","{'en': 'Riyadh Gallery Mall', 'ar': 'الرياض جاليري مول', 'sq': 'Qendra Tregtare Riyadh Gallery'}","{'en': 'Granada Mall', 'ar': 'غرناطة مول', 'sq': 'Qendra Tregtare Granada'}","{'en': 'Awfad Hotel', 'ar': 'فندق أوفاد', 'sq': 'Hotel Awfad'}","{'en': 'The St. Regis hotel Riyadh', 'ar': 'فندق سانت ريجيس الرياض', 'sq': 'Hoteli St. Regis Riyadh'}","{'en': 'Aseel Resort', 'ar': 'منتجع أصيل', 'sq': 'Aseel Resort'}","{'en': 'Four Seasons Hotel Riyadh', 'ar': 'فندق فور سيزونز الرياض', 'sq': 'Hotel Four Seasons Riyadh'}","{'en': 'The Ritz-Carlton', 'ar': 'فندق ريتز كارلتون', 'sq': 'The Ritz-Carlton'}","{'en': 'Riyadh Marriott Hotel', 'ar': 'فندق ماريوت الرياض', 'sq': 'Hotel Marriott Riyadh'}","{'en': 'Fairmont Riyadh', 'ar': 'فيرمونت الرياض', 'sq': 'Fairmont Riyadh'}","{'en': 'Bebek Restaurant | Turkish & International', 'ar': 'مطعم بيبك | تركي وعالمي', 'sq': 'Restorant Bebek | Turke & Ndërkombëtare'}","{'en': 'Movenpick Hotel and Residences Riyadh', 'ar': 'فندق و مساكن موڤنبيك الرياض', 'sq': 'Movenpick Hotel dhe Residences Riyadh'}","{'en': 'Ewan Restaurant', 'ar': 'مطعم إيوان', 'sq': 'Restorant Ewan'}","{'en': 'Fairmont Ramla Serviced Residences', 'ar': 'فيرمونت رملة للشقق الفندقية', 'sq': 'Fairmont Ramla Serviced Residences'}","{'en': 'Wafi Gourmet', 'ar': 'وافي غورميه', 'sq': 'Wafi Gourmet'}","{'en': 'Jareed Hotel Riyadh', 'ar': 'فندق جريد الرياض', 'sq': 'Hotel Jareed Rijad'}","{'en': 'Jasmine Alley Restaurant & Cafe', 'ar': 'مطعم ومقهى درج الياسمين', 'sq': 'Restorant & Kafe Daraj Al Yasmin'}","{'en': 'Mansard Riyadh, a Radisson Collection Hotel', 'ar': 'فندق مانسارد الرياض، أحد فنادق راديسون كوليكشن', 'sq': 'Mansard Riyadh, një Hotel i Koleksionit Radisson'}","{'en': 'Danial Star Restaurant', 'ar': 'مطعم دانيال ستار', 'sq': 'Restorant Danial Star'}","{'en': 'Hilton Riyadh Hotel & Residences', 'ar': 'فندق و مساكن هيلتون الرياض', 'sq': 'Hilton Riyadh Hotel & Residences'}","{'en': 'Voco - Riyadh by IHG', 'ar': 'فوكو - الرياض من آي إتش جي', 'sq': 'Voco - Riad nga IHG'}","{'en': 'Crowne Plaza Riyadh - RDC Hotel & Convention by IHG', 'ar': 'كراون بلازا الرياض فندق ومركز مؤتمرات', 'sq': 'Crowne Plaza Riyadh - RDC Hotel & Convention nga IHG'}","{'en': 'Armani/Ristorante', 'ar': 'مطعم أرماني', 'sq': 'Armani/Ristorante'}","{'en': 'La Cantine du Faubourg Dubai', 'ar': 'لا كانتين دو فوبورغ دبي', 'sq': 'La Cantine du Faubourg Dubai'}","{'en': 'Hilton Riyadh Olaya', 'ar': 'هيلتون الرياض العليا', 'sq': 'Hilton Riyadh Olaya'}","{'en': 'Carnival by Trèsind Restaurant & Bar', 'ar': 'كرنفال من مطعم وبار تريسند', 'sq': 'Karneval nga Trèsind Restaurant & Bar'}","{'en': 'Fish Gourmet Seafood Restaurant', 'ar': 'مطعم فيش جورميه للمأكولات البحرية', 'sq': 'Restorant Peshku Gourmet Detare'}","{'en': 'Vittori Palace Hotel and Residences', 'ar': 'فندق ومساكن فيتوري بالاس', 'sq': 'Hotel dhe Rezidenca Vittori Palace'}"
"{'en': 'A luxury restaurant serving the most delicious authentic Thai dishes in an elegant atmosphere inspired by Thai culture.', 'ar': 'مطعم فاخر يقدم أشهى الأطباق التايلاندية الأصيلة في أجواء أنيقة مستوحاة من الثقافة التايلاندية.', 'sq': 'Restorant luksoz që ofron shijet më të mira autentike tajlandeze në një atmosferë elegante të frymëzuar nga kultura tajlandeze.'}","{'en': 'A luxurious restaurant and sweets shop offering Persian and Eastern dishes with a refined touch and a comfortable atmosphere.', 'ar': '""مطعم وحلويات فاخر يقدم الأطباق الفارسية والشرقية بلمسة راقية وأجواء مريحة.""', 'sq': 'Restoran dhe ëmbëltore luksoze që ofron pjata persiane dhe orientale me një prekje të rafinuar dhe atmosferë komode.'}","{'en': 'Pars Iranian Restaurant offers an authentic Iranian culinary experience with a distinctive oriental atmosphere and refined service.', 'ar': '""يقدم مطعم بارس الإيراني تجربة طعام إيرانية أصيلة مع أجواء شرقية مميزة وخدمة عالية الجودة.""', 'sq': 'Restorant Pars Iranian ofron një përvojë autentike të kuzhinës iraniane me një atmosferë orientale të veçantë dhe shërbim të lartë.'}","{'en': 'Al Damayati Restaurant offers the most delicious traditional Egyptian dishes and grills with an authentic touch in a warm and comfortable atmosphere.', 'ar': 'مطعم الدمياطي يقدم أشهى الأطباق المصرية التقليدية والمشاوي بلمسة أصيلة في أجواء دافئة ومريحة.', 'sq': 'Restorant Al Damayati ofron pjatat më të shijshme tradicionale egjiptiane dhe mish të pjekur në skarë me një prekje autentike në një atmosferë të ngrohtë dhe komode.'}","{'en': 'A luxurious Italian restaurant specializing in fresh seafood, offering a sophisticated ambiance and stunning waterfront views.', 'ar': 'مطعم إيطالي فاخر متخصص في المأكولات البحرية الطازجة، يوفر أجواء راقية وإطلالة خلابة على الواجهة البحرية.', 'sq': 'Një restorant italian luksoz i specializuar në prodhime deti të freskëta, që ofron një atmosferë të rafinuar dhe pamje mahnitëse të bregdetit.'}","{'en': 'DUOMO Restaurant offers a sophisticated Italian dining experience with artistic touches and a luxurious ambiance in the heart of Dubai.', 'ar': '""مطعم دومو يقدم تجربة راقية للمأكولات الإيطالية بلمسات فنية وأجواء فاخرة في قلب دبي.""', 'sq': 'Restoranti DUOMO ofron një eksperiencë të rafinuar të kuzhinës italiane me prekje artistike dhe një atmosferë luksoze në zemër të Dubait.'}","{'en': 'Catch22 offers a lively dining experience with a diverse menu and creative presentations, making it a popular choice for families and friends in Riyadh.', 'ar': 'يقدم كاتش٢٢ تجربة طعام مفعمة بالحيوية مع قائمة متنوعة وعروض تقديم مبتكرة، مما يجعله خيارًا شائعًا للعائلات والأصدقاء في الرياض.', 'sq': 'Catch22 ofron një përvojë të gjallë ngrënieje me një menu të larmishme dhe prezantime krijuese, duke e bërë atë një zgjedhje popullore për familjet dhe miqtë në Riad.'}","{'en': 'Catch22 offers a lively dining experience with a diverse menu and creative presentations, making it a popular choice for families and friends in Riyadh.', 'ar': 'يقدم كاتش٢٢ تجربة طعام مفعمة بالحيوية مع قائمة متنوعة وعروض تقديم مبتكرة، مما يجعله خيارًا شائعًا للعائلات والأصدقاء في الرياض.', 'sq': 'Catch22 ofron një përvojë të gjallë ngrënieje me një menu të larmishme dhe prezantime krijuese, duke e bërë atë një zgjedhje popullore për familjet dhe miqtë në Riad.'}","{'en': 'Labash offers an interactive dining experience with table-side shawarma grilling, bringing Egyptian fast-food flair to Riyadh.', 'ar': 'يقدم Labash تجربة تفاعلية لتناول الطعام مع شوائم شاورما من جانب الطاولة ، مما يجلب ذوقًا للوجبات السريعة المصرية إلى رياده.', 'sq': 'Labash ofron një përvojë ndërvepruese ngrënieje me tiganisje të shawarma në anën e tryezës, duke sjellë dhunti të ushqimit të shpejtë egjiptian në Rijad.'}","{'en': 'A lively shopping center offering retail, dining, and entertainment for all ages.', 'ar': 'مركز للتسوق الحيوي يقدم البيع بالتجزئة وتناول الطعام والترفيه لجميع الأعمار.', 'sq': 'Një qendër e gjallë tregtare që ofron pakicë, ngrënie dhe argëtim për të gjitha moshat.'}","{'en': 'A traditional market in Riyadh where visitors can explore authentic Saudi goods, antiques, spices, and perfumes.', 'ar': 'سوق تقليدي في الرياض حيث يمكن للزوار استكشاف السلع السعودية الأصلية والتحف والتوابل والعطور.', 'sq': 'Një treg tradicional në Riad, ku vizitorët mund të eksplorojnë mallra autentike saudite, antike, erëza dhe parfume.'}","{'en': 'A diverse shopping center in Riyadh offering luxury brands, dining, and essential amenities for a comfortable shopping experience.', 'ar': 'يوفر مركز تسوق متنوع في الرياض العلامات التجارية الفاخرة وتناول الطعام ووسائل الراحة الأساسية لتجربة تسوق مريحة.', 'sq': 'Një qendër e larmishme tregtare në Riad që ofron marka luksoze, ngrënie dhe pajisje thelbësore për një përvojë të rehatshme për blerje.'}","{'en': 'A premier luxury shopping and dining destination in Riyadh, featuring high-end brands and diverse culinary experiences.', 'ar': 'وجهة تسوق وتناول طعام فاخرة ورائدة في الرياض، تضم علامات تجارية راقية وتجارب طهي متنوعة.', 'sq': 'Një destinacion kryesor luksoz për blerje dhe darkë në Riad, që përmban marka të nivelit të lartë dhe përvoja të ndryshme kulinarie.'}","{'en': 'A premier shopping destination in Riyadh, offering a vast selection of stores, dining options, and family-friendly entertainment.', 'ar': 'وجهة للتسوق رئيس الوزراء في الرياض ، تقدم مجموعة واسعة من المتاجر وخيارات الطعام والترفيه الصديق للعائلة.', 'sq': 'Një destinacion kryesor i blerjeve në Riad, duke ofruar një përzgjedhje të gjerë të dyqaneve, opsioneve të ngrënies dhe argëtimit miqësor për familjen.'}","{'en': 'A luxurious shopping center in Riyadh featuring top international brands and fine dining options.', 'ar': 'مركز تسوق فاخر في الرياض يضم أرقى العلامات التجارية العالمية وخيارات لتناول الطعام الفاخر.', 'sq': 'Një qendër tregtare luksoze në Riad që përmban markat më të mira ndërkombëtare dhe opsione të shkëlqyera të ngrënies.'}","{'en': 'A contemporary mall in Riyadh offering diverse shopping, dining, and entertainment experiences for all visitors.', 'ar': 'مركز معاصر في الرياض يقدم تجارب متنوعة للتسوق وتناول الطعام والترفيه لجميع الزوار.', 'sq': 'Një qendër bashkëkohore në Riad duke ofruar përvoja të ndryshme për blerje, ngrënie dhe argëtim për të gjithë vizitorët.'}","{'en': 'Sahara Mall is a family-friendly shopping center in Riyadh, featuring a wide range of stores, dining options, and entertainment facilities.', 'ar': 'Sahara Mall هو مركز تسوق صديق للعائلة في Riyadh ، ويتميز بمجموعة واسعة من المتاجر وخيارات الطعام ومرافق الترفيه.', 'sq': 'Sahara Mall është një qendër tregtare miqësore për familjen në Riad, duke shfaqur një gamë të gjerë dyqanesh, opsione ngrënie dhe lehtësira argëtuese.'}","{'en': 'Al Qasr Mall is a premier shopping and entertainment destination in Riyadh, offering a wide range of retail stores, dining options, and family-friendly facilities.', 'ar': 'القصر مول هو وجهة تسوق وترفيه متميزة في الرياض، يقدم مجموعة واسعة من متاجر البيع بالتجزئة وخيارات الطعام والمرافق المناسبة للعائلات.', 'sq': 'Al Qasr Mall është një destinacion kryesor për blerje dhe argëtim në Riad, duke ofruar një gamë të gjerë dyqanesh me pakicë, mundësi ngrënieje dhe ambiente miqësore për familjen.'}","{'en': 'ROSHN Front is a dynamic urban hub in Riyadh, blending shopping, dining, and entertainment experiences.', 'ar': 'واجهة روشن هي مركز حضري حيوي في الرياض، يمزج بين تجارب التسوق وتناول الطعام والترفيه.', 'sq': 'ROSHN Front është një qendër dinamike urbane në Riad, duke kombinuar përvoja blerjesh, ngrënieje dhe argëtimi.'}","{'en': 'Hayat Mall offers a comprehensive shopping and entertainment experience in Riyadh.', 'ar': 'يقدم Hayat Mall تجربة شاملة للتسوق والترفيه في Riyadh.', 'sq': 'Hayat Mall ofron një përvojë gjithëpërfshirëse për blerje dhe argëtim në Riad.'}","{'en': 'Cenomi Al Nakheel Mall offers a comprehensive shopping, dining, and entertainment experience in Riyadh.', 'ar': 'يقدم سنومي النخيل مول تجربة تسوق وتناول طعام وترفيه شاملة في الرياض.', 'sq': 'Cenomi Al Nakheel Mall ofron një përvojë të plotë blerjesh, ngrënieje dhe argëtimi në Riad.'}","{'en': 'Panorama Mall is a premier shopping destination in Riyadh, offering a blend of retail stores, diverse dining options, and extensive entertainment facilities for families.', 'ar': 'Panorama Mall هي وجهة للتسوق رائدة في الرياض ، حيث تقدم مزيجًا من متاجر البيع بالتجزئة وخيارات الطعام المتنوعة ومرافق الترفيه الواسعة للعائلات.', 'sq': 'Panorama Mall është një destinacion kryesor i blerjeve në Rijad, duke ofruar një përzierje të dyqaneve me pakicë, opsione të ndryshme ngrënieje dhe lehtësira të gjera argëtuese për familjet.'}","{'en': 'Riyadh Park Mall is a premier destination in Riyadh, offering a vast array of retail stores, diverse dining options, and family-friendly entertainment facilities.', 'ar': 'Riyadh Park Mall هي وجهة رائدة في Riyadh ، حيث تقدم مجموعة واسعة من متاجر البيع بالتجزئة وخيارات الطعام المتنوعة ومرافق الترفيه الصديقة للعائلة.', 'sq': 'Riyadh Park Mall është një destinacion kryesor në Riad, duke ofruar një gamë të gjerë dyqanesh me pakicë, opsione të ndryshme ngrënieje dhe lehtësira argëtuese miqësore për familjen.'}","{'en': 'Riyadh Gallery Mall is a premier shopping destination in Riyadh, offering a vast array of retail stores, diverse dining options, and family-friendly entertainment facilities.', 'ar': 'Riyadh Gallery Mall هي وجهة للتسوق رائدة في Riyadh ، حيث تقدم مجموعة واسعة من متاجر البيع بالتجزئة وخيارات الطعام المتنوعة ومرافق الترفيه الصديقة للعائلة.', 'sq': 'Riyadh Gallery Mall është një destinacion kryesor për blerje në Riad, duke ofruar një gamë të gjerë të dyqaneve me pakicë, opsione të ndryshme ngrënieje dhe lehtësira argëtuese miqësore për familjen.'}","{'en': ""Granada Mall is one of Riyadh's largest shopping centers, featuring a vast array of retail stores, diverse dining options, and family-friendly entertainment facilities."", 'ar': 'غرناطة مول هو أحد أكبر مراكز التسوق في الرياض، ويضم مجموعة واسعة من متاجر البيع بالتجزئة وخيارات متنوعة لتناول الطعام ومرافق ترفيهية مناسبة للعائلات.', 'sq': 'Granada Mall është një nga qendrat më të mëdha tregtare të Riadit, duke ofruar një gamë të gjerë dyqanesh me pakicë, mundësi të ndryshme ngrënieje dhe ambiente argëtimi të përshtatshme për familje.'}","{'en': 'A luxury hotel in VIA Riyadh with elegant rooms, fine dining, and world-class wellness facilities.', 'ar': 'فندق فاخر في ڤيا رياض يضم غرفًا أنيقة ومطاعم راقية ومرافق صحية عالمية المستوى.', 'sq': 'Një hotel luksoz në VIA Riyadh me dhoma elegante, restorante të shkëlqyera dhe ambiente wellness të klasit botëror.'}","{'en': 'A luxury hotel in VIA Riyadh with elegant rooms, fine dining, and world-class wellness facilities.', 'ar': 'فندق فاخر في ڤيا رياض يضم غرفًا أنيقة ومطاعم راقية ومرافق صحية عالمية المستوى.', 'sq': 'Një hotel luksoz në VIA Riyadh me dhoma elegante, restorante të shkëlqyera dhe ambiente wellness të klasit botëror.'}","{'en': 'A 5-star resort offering comfortable rooms, outdoor pool, dining, and scenic garden views.', 'ar': 'منتجع 5 نجوم يقدم غرفًا مريحة ومسبحًا خارجيًا وتناول الطعام وإطلالات خلابة على الحديقة.', 'sq': 'Një resort me 5 yje që ofron dhoma komode, pishinë të jashtme, restorant dhe pamje piktoreske të kopshtit.'}","{'en': 'A modern luxury hotel in Kingdom Centre offering fine dining, spa services, and recreational facilities.', 'ar': 'فندق فاخر حديث في مركز المملكة يقدم أرقى المأكولات وخدمات السبا والمرافق الترفيهية.', 'sq': 'Një hotel modern luksoz në Qendrën e Mbretërisë që ofron restorante të shkëlqyera, shërbime spa dhe ambiente rekreative.'}","{'en': 'A grand luxury hotel offering world-class hospitality, fine dining, and spa facilities in Riyadh.', 'ar': 'فندق فخم كبير يقدم ضيافة عالمية المستوى ومأكولات راقية ومرافق سبا في الرياض.', 'sq': 'Një hotel luksoz madhështor që ofron mikpritje të klasit botërore, restorante të shkëlqyera dhe ambiente spa në Riad.'}","{'en': 'A stylish hotel with premium amenities, dining, and business facilities in Riyadh’s central district.', 'ar': 'فندق أنيق مع وسائل الراحة المتميزة ، وتناول الطعام ، ومرافق الأعمال في المنطقة المركزية في الرياض.', 'sq': 'Një hotel elegant me pajisje premium, ngrënie dhe lehtësira biznesi në Qarkun Qendror të Riadit.'}","{'en': 'Fairmont Riyadh offers luxury stays, fine dining, and spa facilities near Business Gate and Riyadh Airport.', 'ar': 'يقدم فندق فيرمونت الرياض إقامات فاخرة ومأكولات راقية ومرافق سبا بالقرب من بوابة الأعمال ومطار الرياض.', 'sq': 'Fairmont Riyadh ofron qëndrime luksoze, restorante të shkëlqyera dhe ambiente spa afër Business Gate dhe Aeroportit të Riadit.'}","{'en': 'Bebek Restaurant offers a blend of Turkish and international cuisine in a sophisticated atmosphere with exceptional service.', 'ar': '""يقدم مطعم بيبك مزيجًا من المأكولات التركية والعالمية في أجواء راقية وخدمة مميزة.""', 'sq': 'Restoranti Bebek ofron një përzierje të kuzhinës turke dhe ndërkombëtare në një atmosferë elegante dhe shërbim të dalluar.'}","{'en': 'Mövenpick Hotel & Residences Riyadh offers luxury, dining, and wellness near KAFD for business and leisure.', 'ar': 'فندق ومساكن موفنبيك الرياض يقدم الفخامة، والطعام، والعافية بالقرب من مركز الملك عبدالله المالي للأعمال والترفيه.', 'sq': 'Mövenpick Hotel & Residences Riyadh ofron luks, ngrënie dhe mirëqenie pranë Kafd për biznes dhe kohën e lirë.'}","{'en': 'Ewan Restaurant offers a luxurious Arabian dining experience with a diverse buffet in an elegant oriental ambiance.', 'ar': 'مطعم إيوان يقدم تجربة طعام عربية فاخرة ببوفيه متنوع وسط أجواء شرقية أنيقة.', 'sq': 'Restoranti Ewan ofron një përvojë luksoze të ushqimit arab me një bufe të larmishme në një atmosferë elegante orientale.'}","{'en': 'Fairmont Ramla Serviced Residences provides luxurious accommodations with panoramic city views, combining elegance and comfort for both short and long-term stays in Riyadh.', 'ar': 'يوفر Fairmont Ramla Residents Residences أماكن إقامة فاخرة مع إطلالات على المدينة البانورامية ، حيث تجمع بين الأناقة والراحة لكل من الإقامات القصيرة والطويلة الأجل في الرياض.', 'sq': 'Rezidencat e shërbimit të Fairmont Ramla ofrojnë strehim luksoz me pamje panoramike të qytetit, duke kombinuar elegancën dhe rehati për qëndrime afatshkurtra dhe afatgjata në Riad.'}","{'en': 'A luxurious Lebanese restaurant offering the most delicious traditional Lebanese cuisine with a stunning view of the Burj Khalifa and the Dubai Fountain.', 'ar': 'مطعم لبناني فاخر يقدم أشهى المأكولات اللبنانية التقليدية بإطلالة رائعة على برج خليفة ونافورة دبي.', 'sq': 'Restorant luksoz libanez që ofron specialitete tradicionale libaneze me pamje mahnitëse të Burj Khalifa dhe burimit të Dubait.'}","{'en': 'Jareed Hotel offers luxury accommodations, dining, wellness facilities, and a prime location in Riyadh.', 'ar': 'يوفر Jared Hotel أماكن إقامة فاخرة ، وتناول الطعام ، ومرافق العافية ، وموقع رئيسي في الرياض.', 'sq': 'Jareed Hotel ofron akomodime luksoze, ngrënie, ambiente Wellness dhe një vendndodhje kryesore në Riad.'}","{'en': 'Daraj Al-Yasmin Restaurant offers distinctive Levantine and Eastern dishes in a sophisticated atmosphere suitable for families and gatherings.', 'ar': '""مطعم درج الياسمين يقدم أطباق شامية وشرقية مميزة في أجواء راقية تناسب العائلات والتجمعات.""', 'sq': 'Restorant Darraj Al Yasmin ofron pjata të shquara levantine dhe orientale në një atmosferë elegante të përshtatshme për familjet dhe tubimet.'}","{'en': 'A luxurious hotel blending classic European architecture with Arabian hospitality.', 'ar': 'فندق فاخر يمزج بين العمارة الأوروبية الكلاسيكية والضيافة العربية.', 'sq': 'Një hotel luksoz që kombinon arkitekturën klasike evropiane me mikpritjen arabe.'}","{'en': 'Danial Star Restaurant offers a diverse open buffet featuring Arabic, Iranian, and Indian cuisines in a sophisticated atmosphere.', 'ar': 'يقدم مطعم دانيال ستار بوفيه مفتوح متنوع يشمل المأكولات العربية والإيرانية والهندية في أجواء راقية.', 'sq': 'Restoranti Danial Star ofron një bufe të hapur të larmishme që përfshin kuzhinë arabe, iraniane dhe indiane në një atmosferë elegante.'}","{'en': 'A luxurious hotel connected to Granada Mall, offering diverse dining options, extensive event spaces, wellness facilities, and modern accommodations in Riyadh.', 'ar': 'فندق فاخر متصل بغرناطة مول، يقدم خيارات متنوعة لتناول الطعام، ومساحات واسعة للمناسبات، ومرافق صحية، وإقامة عصرية في الرياض.', 'sq': 'Një hotel luksoz i lidhur me Granada Mall, që ofron opsione të ndryshme ngrënieje, hapësira të gjera për ngjarje, ambiente wellness dhe akomodime moderne në Riad.'}","{'en': 'An award-winning hotel offering luxurious accommodations, diverse dining options, extensive event spaces, and wellness facilities in the heart of Riyadh.', 'ar': 'فندق حائز على جوائز يقدم أماكن إقامة فاخرة وخيارات متنوعة لتناول الطعام ومساحات واسعة للفعاليات ومرافق صحية في قلب الرياض.', 'sq': 'Një hotel i vlerësuar me çmime që ofron akomodime luksoze, opsione të ndryshme ngrënieje, hapësira të gjera për ngjarje dhe ambiente wellness në zemër të Riadit.'}","{'en': ""A 5-star hotel situated in Riyadh's Digital City, offering luxurious accommodations, diverse dining options, extensive event spaces, and wellness facilities."", 'ar': 'يقع فندق من فئة 5 نجوم في مدينة Riyadh الرقمية ، ويوفر أماكن إقامة فاخرة وخيارات لتناول الطعام المتنوعة ومساحات الأحداث الواسعة ومرافق العافية.', 'sq': 'Një hotel me 5 yje i vendosur në qytetin dixhital të Riadit, duke ofruar akomodime luksoze, opsione të ndryshme ngrënieje, hapësira të gjera të ngjarjeve dhe lehtësira të Wellness.'}","{'en': 'A luxurious restaurant in the Armani Hotel offering exquisite Italian dishes with a stunning view of the Burj Khalifa.', 'ar': 'مطعم فاخر في فندق أرماني يقدم أطباق إيطالية راقية بإطلالة خلابة على برج خليفة.', 'sq': 'Një restorant luksoz në hotelin Armani që ofron kuzhinë të shkëlqyer italiane me pamje mahnitëse të Burj Khalifa.'}","{'en': 'A luxurious French restaurant in Dubai offers elegant dishes in an elegant atmosphere with external terrace and live musical performances.', 'ar': 'مطعم فرنسي فاخر في دبي يقدم أطباقًا راقية بأجواء أنيقة مع تراس خارجي وعروض موسيقية حية.', 'sq': 'Një restorant luksoz francez në Dubai ofron pjata elegante në një atmosferë elegante me tarracë të jashtme dhe shfaqje muzikore live.'}","{'en': ""A 4-star hotel in Riyadh's Al Olaya District, offering luxurious accommodations, diverse dining options, and comprehensive wellness facilities."", 'ar': 'فندق من فئة 4 نجوم في منطقة آلايا في رياده ، ويوفر أماكن إقامة فاخرة وخيارات لتناول الطعام المتنوعة ومرافق العافية الشاملة.', 'sq': 'Një hotel me 4 yje në rrethin Al Olaya të Riadit, duke ofruar akomodime luksoze, opsione të ndryshme ngrënieje dhe lehtësira gjithëpërfshirëse të Wellness.'}","{'en': 'A luxurious Indian restaurant serves innovative Indian dishes with modern touches and elegant atmosphere.', 'ar': 'مطعم هندي فاخر يقدم أطباق هندية مبتكرة بلمسات عصرية وأجواء أنيقة.', 'sq': 'Një restorant luksoz indian shërben pjata inovative indiane me prekje moderne dhe atmosferë elegante.'}","{'en': 'A restaurant serves fresh naval cuisine with luxurious touches and a sophisticated atmosphere for seafood lovers.', 'ar': '""مطعم يقدم مأكولات بحرية طازجة بلمسات فاخرة وأجواء راقية لمحبي النكهات البحرية.""', 'sq': 'Restorant që ofron ushqime deti të freskëta me prekje luksoze dhe atmosferë të rafinuar për adhuruesit e shijeve të detit.'}","{'en': ""A 5-star hotel in Riyadh's King Abdullah District, offering luxurious accommodations, diverse dining options, and comprehensive wellness facilities."", 'ar': 'فندق من فئة 5 نجوم في منطقة King Abdullah في Riyadh ، ويوفر أماكن إقامة فاخرة وخيارات لتناول الطعام المتنوعة ومرافق العافية الشاملة.', 'sq': 'Një hotel me 5 yje në rrethin e Mbretit Abdullah të Riadit, duke ofruar akomodime luksoze, mundësi të ndryshme ngrënieje dhe lehtësira gjithëpërfshirëse të Wellness.'}"
